category,sub_category,app_name,package_id,source,priority,notes,installed
Lifestyle,Diary,Diary,org.billthefarmer.diary,F-Droid,Medium,Simple diary app,true
Tools,QR,Binary Eye,de.markusfisch.android.binaryeye,F-Droid,Low,QR/barcode scanner,true
Tools,Password,Bitwarden,com.x8bit.bitwarden,F-Droid,Medium,Password manager,false
Tools,VPN,ProtonVPN,ch.protonvpn.android,PlayStore,Low,VPN client,false
Tools,Scanner,OpenScan,com.ethereal.openscan,F-Droid,Medium,Document scanner,false
Tools,Translate,DeepL,com.deepl.mobiletranslator,PlayStore,Medium,Translation,false
Tools,Converter,Unit Converter,com.androidfromhome.unitconverter,F-Droid,Low,Unit conversion,false
Social,Photo,Pinterest,com.pinterest,PlayStore,Medium,Visual discovery/pinning,false
Social,Photo,Pixelfed,org.pixeldroid,F-Droid,Low,Decentralized photo sharing,false
Social,Forum,Lemmy,com.jerboa,F-Droid,Low,Decentralized link aggregator,true
Automotive,EV,PlugShare,com.xatori.Plugshare,PlayStore,Low,EV charging station finder,false
Automotive,Parking,ParkMobile,net.sharewire.parkmobilev2,PlayStore,Low,Parking payment,false
Sports,Scores,ESPN,com.espn.score_center,PlayStore,Medium,Sports scores/news,false
Sports,Tracking,Nike Run Club,com.nike.plusgps,PlayStore,Medium,Running tracker,false
Sports,Scores,FotMob,com.mobilefootie.wc2010,PlayStore,Low,Football/soccer scores,false
Podcast,Player,Pocket Casts,au.com.shiftyjelly.pocketcasts,PlayStore,Medium,Podcast player,false
Podcast,Player,AntennaPod,de.danoeh.antennapod,F-Droid,Medium,Open-source podcast,true
Music,Instrument,Tuner,org.billthefarmer.tuner,F-Droid,Low,Musical instrument tuner,true
Music,Radio,RadioDroid,net.programmierecke.radiodroid2,F-Droid,Low,Internet radio,true
Photography,Editor,Photo Editor,com.iudesk.android.photo.editor,PlayStore,Low,Photo editing tools,false
Photography,Camera,FreeDCam,troop.com.freedcam,F-Droid,Low,Advanced camera controls,true
Accessibility,Reader,Voice Aloud,com.hyperionics.avar,PlayStore,Low,Text-to-speech reader,false
Accessibility,Magnifier,Magnifier Plus,com.vistechprojects.magnifierplus,PlayStore,Low,Screen magnification,false
